"n","B","j","proj_lambda","delta_lambda","psi_proj","psi_delta","se_proj","se_delta","lower_proj","upper_proj","lower_delta","upper_delta"
1000,4,3,0.224249470282622,0.224249470282622,1.82024750757639,1.81598418340077,0.133992412290023,0.124893523679752,1.55762237948795,2.08287263566484,1.57119287698846,2.06077548981308
1000,4,4,0.21405698576551,0.21405698576551,1.82072334672929,1.8159923018645,0.134030052160887,0.124580733890253,1.55802444449395,2.08342224896463,1.5718140634396,2.06017054028939
1000,4,5,0.204327765400152,0.204327765400152,1.8211576366109,1.83334136295109,0.134041855501689,0.131626522968579,1.55843559982759,2.08387967339421,1.57535337793268,2.09132934796951
1000,4,6,0.195040753115877,0.195040753115877,1.8216844595409,1.83336243204277,0.134106347358219,0.131608999182387,1.55883601871879,2.08453290036301,1.57540879364529,2.09131607044025
1000,4,7,0.186175849872922,0.186175849872922,1.82172788823796,1.83691101198715,0.134106939141297,0.131677818588717,1.55887828752101,2.0845774889549,1.57882248755327,2.09499953642104
1000,4,8,0.177713870163903,0.177713870163903,1.82167086323288,1.83358505245656,0.134100795602357,0.131669722203771,1.55883330385226,2.0845084226135,1.57551239693717,2.09165770797595
1000,4,9,0.169636500492355,0.169636500492355,1.82176305805539,1.8447026749486,0.134098024562176,0.130736542115115,1.55893092991352,2.08459518619725,1.58845905240297,2.10094629749422
1000,5,1,0.282659845096768,0.282659845096768,1.56244551484723,1.55636063539139,0.115692872345607,0.111903397907119,1.33568748504984,1.78920354464462,1.33702997549343,1.77569129528934
1000,5,2,0.269812518897393,0.269812518897393,1.56235570407136,1.55707588230558,0.115665358754513,0.111931865604624,1.33565160091252,1.7890598072302,1.33768942572052,1.77646233889064
1000,5,3,0.257549123501548,0.257549123501548,1.5623597845399,1.55707629558468,0.11566580238376,0.111932039985051,1.33565481186773,1.78906475721207,1.33768949721398,1.77646309395538
1000,5,4,0.245843118353011,0.245843118353011,1.56236645593799,1.55636334759481,0.115663476847283,0.111954419603856,1.33566604131732,1.78906687055866,1.33693268517125,1.77579401001836
1000,5,5,0.234669169204799,0.234669169204799,1.56248615853474,1.58556572522935,0.115658457563276,0.10914723201279,1.33579558171072,1.78917673535876,1.37163715048428,1.79949429997442
1000,5,6,0.224003093290556,0.224003093290556,1.56246572669958,1.58631309380755,0.115658331922698,0.109015836607534,1.33577539613109,1.78915605726807,1.37264205405679,1.79998413355832
1000,5,7,0.213821806987977,0.213821806987977,1.5624747854804,1.58558286416192,0.115658949693198,0.109016262797121,1.33578324408173,1.78916632687907,1.37191098907956,1.79925473924428
1000,5,8,0.204103275861018,0.204103275861018,1.56275926903455,1.58771683287611,0.115568939370657,0.108479224802416,1.33624414786806,1.78927439020104,1.37509755226337,1.80033611348885
1000,6,1,0.278177556476197,0.278177556476197,1.6606230065934,1.6201620772211,0.128397584616001,0.105838084252537,1.40896374074604,1.91228227244076,1.41271943208613,1.82760472235607
1000,6,2,0.265533957212314,0.265533957212314,1.66093079117405,1.62016286341584,0.128305848166009,0.105329817860984,1.40945132876867,1.91241025357943,1.41371642040831,1.82660930642337
1000,6,3,0.253465029048324,0.253465029048324,1.66601508314128,1.6201865375447,0.128383416175087,0.10399330781176,1.41438358743811,1.91764657884445,1.41635965423365,1.82401342085575
1000,6,4,0.241944652295825,0.241944652295825,1.66528738708681,1.6201877717898,0.12832204997142,0.103672948587991,1.41377616914283,1.9167986050308,1.41698879255734,1.82338675102226
1000,6,5,0.230947894446564,0.230947894446564,1.66699204053867,1.62884353170903,0.127647018065319,0.106166646809704,1.41680388513064,1.91718019594669,1.42075690396201,1.83693015945605
1000,6,6,0.220450956213267,0.220450956213267,1.66515768040076,1.66899328425288,0.127269784407658,0.115881555260725,1.41570890296175,1.91460645783978,1.44186543594186,1.8961211325639
1000,6,7,0.210431120023,0.210431120023,1.6660107443697,1.67065985352656,0.127271513214911,0.116374343744915,1.41655857846847,1.91546291027093,1.44256613978652,1.89875356726659
1000,6,8,0.200866700851576,0.200866700851576,1.66583581775642,1.6723287837418,0.127270413554175,0.116465018074036,1.41638580719024,1.9152858283226,1.44405734831669,1.90060021916691
1000,7,1,0.130203359598605,0.130203359598605,1.67161149009273,1.68688041070487,0.156504187361522,0.155649521135345,1.36486328286415,1.97835969732131,1.38180734927959,1.99195347213014
1000,7,2,0.124285415957034,0.124285415957034,1.67162641255841,1.68688043593143,0.156504722462154,0.155672853103996,1.36487715653258,1.97837566858423,1.3817616438476,1.99199922801526
1000,7,3,0.118636451987361,0.118636451987361,1.67161290308725,1.6868797906218,0.156504851789886,0.15559475495826,1.36486339357907,1.97836241259543,1.38191407090361,1.99184551033999
1000,7,4,0.113244242148371,0.113244242148371,1.67149766677617,1.68689681091405,0.156508240851718,0.15650161077434,1.3647415147068,1.97825381884554,1.38015365379635,1.99363996803176
1000,7,5,0.108097116568567,0.108097116568567,1.67153218437516,1.68477238491053,0.156519276510381,0.158930437217745,1.36475440241482,1.97830996633551,1.37326872796375,1.99627604185731
1000,7,6,0.10318393579012,0.10318393579012,1.67127295168495,1.68476522690121,0.156524753315763,0.157811465037749,1.36448443518605,1.97806146818384,1.37545475542722,1.9940756983752
